filename,label,mean_intensity,std_intensity,variance_intensity,min_intensity,max_intensity,skewness,kurtosis,energy_intensity,entropy_intensity,glcm_contrast,glcm_dissimilarity,glcm_asm,glcm_correlation,glcm_energy,glcm_homogeneity,glcm_entropy,glcm_autocorrelation,glcm_idm,glcm_max_prob,glcm_variance,glcm_sum_avg,glcm_sum_entropy,glcm_cluster_shade
141.png,1,16.52888888888889,27.654035749052554,764.7456932098767,0,102,1.1798629894228327,-0.3923721730877854,0.5304335638429666,1.6645719174203109,25.239596353939792,1.3951368950707606,0.5171957548930747,0.9835691504263344,0.7191622664438748,0.7919380413227748,3.543995273130826,1034.7862622036262,0.8054465243040341,0.7204846582984659,7.92332262781507e-06,32640.0,145.52018052908917,537901.8033227079
142.png,1,17.018229166666668,28.431733194086227,808.3634524197047,0,107,1.1771490240302553,-0.39638400465196666,0.5294789628680326,1.6767039785170237,26.877721853610282,1.428653683992529,0.5162970289434381,0.9834467564890567,0.7185371279008083,0.7911758101966508,3.5740534163281352,1094.5137377963738,0.803180685437779,0.7198570432357043,7.90938177353103e-06,32639.999999999993,151.31401081407563,584661.1606713583
143.png,1,17.052604166666665,28.446261656781786,809.1898022460937,0,106,1.1730545150295215,-0.4067518716649938,0.5288026384533966,1.6759909113989588,27.106013003099935,1.4251845862292964,0.5156166302624764,0.9833231851397697,0.7180635463360253,0.7910603959487011,3.5726477518916577,1096.3028940027893,0.8030029367852122,0.7193514644351464,7.89832579708603e-06,32640.0,150.79967136607016,585383.7440768827
144.png,1,17.8378125,29.724668500036564,883.555917437066,0,110,1.1698161100452702,-0.41266349720615025,0.5285864429350535,1.6842639604861938,29.96990912565876,1.490568960335736,0.5154201684103382,0.9831130276596094,0.7179267484137991,0.788890886521773,3.6001190752996677,1197.5544456066943,0.799234930880703,0.7192119944211994,7.895081567780572e-06,32639.999999999993,159.35163125091862,667679.4579765938
145.png,1,17.7190625,29.48458338614312,869.3406574544271,0,108,1.164351460936344,-0.4292861722675414,0.5281912025859002,1.679046873298859,29.933037834890037,1.490981279506156,0.5149302629401293,0.9828577955810098,0.717585486975503,0.7892159236553654,3.5943740046335573,1178.8950662482566,0.7997367835856315,0.7188807531380753,7.887912553561963e-06,32640.0,157.30977075555725,651067.9410386158
146.png,1,17.289600694444445,28.76063999092818,827.1744126877774,0,105,1.161580095301455,-0.44141365717307934,0.5283250466439785,1.6694211292853591,28.971143566582338,1.4764914975812289,0.5150543088161641,0.9825628555267587,0.7176718603543094,0.7898576807464028,3.5806047009998188,1121.6370641562064,0.7999527575213023,0.7190202231520223,7.891042278283231e-06,32640.0,153.03814265081022,603688.7481632633
147.png,1,18.57704861111111,30.9290170912971,956.6040982337481,0,113,1.1620118817880276,-0.4437144898665428,0.5288808056920177,1.682421970431192,34.554494625446154,1.6067719183838667,0.5156347039211109,0.9820161408868635,0.7180762048766343,0.7857430715390474,3.6272772802416653,1295.9349023709901,0.7958696308960154,0.7193514644351464,7.8980359390964e-06,32640.0,167.41635326728206,750096.8116790687
148.png,1,18.368402777777778,30.628718734837246,938.1184113377701,0,113,1.1676940029867435,-0.42774689984022984,0.5291696470018652,1.6838925209153601,34.06892594229984,1.6029732205902971,0.5160106674525252,0.981919832832535,0.7183378770884393,0.7862517748053351,3.6300399287169904,1269.9837343096235,0.7963265980047576,0.7196478382147838,7.90452682785725e-06,32640.0,166.52727734083328,728892.3874606271
149.png,1,18.014722222222222,30.092903462639306,905.5828388117287,0,111,1.1748029514117748,-0.40574023261694325,0.5294503167157931,1.6834833733582588,32.66931725343471,1.5795978420079868,0.5162955360428075,0.9820400602227087,0.7185360842290092,0.7860305247301947,3.6270041918947022,1225.159030683403,0.7962369210839169,0.7199093444909345,7.910208008280028e-06,32640.0,163.9027913298112,692094.3073988496
150.png,1,18.248784722222222,30.58439340661962,935.4051200508776,0,114,1.1858310841466255,-0.3715470392815221,0.530182643598616,1.6881956003649297,33.38176053903317,1.5915312086040516,0.5170395458560131,0.9822338600595237,0.7190536343708612,0.7863633012047673,3.6282361708820186,1263.4807008368202,0.7972891533045371,0.7204149232914924,7.921283182445815e-06,32640.0,166.08808681793414,727431.0906181189
151.png,1,17.69925347222222,29.74596762118311,884.8225897204738,0,113,1.1953764853085744,-0.3414744901858082,0.5310688474043697,1.680959291424318,30.93855076650334,1.5343369411717516,0.5179553105545773,0.9825931735809255,0.7196901297600191,0.7889612668064931,3.604096799263682,1193.7245467224548,0.800193595255805,0.7210599721059973,7.935563142357376e-06,32640.0,160.39106180777554,669985.6393363966
152.png,1,17.68809027777778,29.815709479561743,888.976531769628,0,114,1.202938563616374,-0.3211018404957402,0.5323406709480212,1.674319742510104,31.372458246531014,1.5333200209497628,0.5192224117639641,0.9824316296967618,0.7205699500863099,0.7896854878528622,3.5875859569271005,1197.1606520223152,0.8009243020840563,0.7218619246861925,7.953271733114452e-06,32640.0,159.0093653506684,674722.3463494042
153.png,1,17.307777777777776,29.25287904739854,855.7309325617285,0,111,1.2117342393241188,-0.2899969804306286,0.5336016472296979,1.6650796249867157,30.560900325626267,1.4958047755350605,0.5203962438083789,0.9822213580410915,0.7213840363959523,0.7920596683597665,3.5601957974804694,1150.8363145048813,0.8027917006162415,0.7226813110181312,7.971483339402607e-06,32640.0,154.42605419095628,637762.9276177189
154.png,1,17.755815972222223,30.07865226497432,904.7253220772449,0,115,1.2211761939215244,-0.25422282677968155,0.5346985652052155,1.670315990750436,31.62708296861233,1.521729420878569,0.5215798149131496,0.9825977992508833,0.7222038883221287,0.7916892914132715,3.570523689962541,1215.5065376569037,0.80263273346643,0.7235181311018131,7.989813378399001e-06,32640.0,160.0597364972303,694313.2142694978
155.png,1,21.776006944444443,37.025654122812924,1370.8990632221737,0,141,1.2320646778318076,-0.21985557374445142,0.5357880983667251,1.721248238256734,48.66779227429848,1.8644027955277571,0.5230057645495549,0.982327720951207,0.7231904518396524,0.7820798668852598,3.698706238069389,1838.1706764295675,0.7922262523153932,0.7245292887029289,8.01137205478461e-06,32639.999999999993,205.93311685174956,1295903.7068315672
